code,name,industry,年化均值(%),年化波动率(%),偏度,峰度,最大回撤(%)
000001,平安银行,银行,-3.415989799270906,28.879870598455526,0.36633809356964875,4.37965345536775,-66.66396212031292
600036,招商银行,银行,4.800511471756222,27.571050234091683,0.26552233265402214,3.209382687153888,-54.641345291355094
600519,贵州茅台,白酒,6.577570938267946,27.538505422754223,0.2635914426092502,3.6772933213567836,-54.21645996476266
000858,五粮液,白酒,-1.2804825603708214,34.34837162495493,0.08795490469612441,3.372196772682761,-74.14164571720214
600048,保利发展,房地产,-13.617986354079584,35.938747640527325,0.5633555858800704,3.278163933814879,-74.15451109921004
000002,万科A,房地产,-31.939434603743223,36.17331024894979,0.6570384566774025,3.325176863303466,-90.41724843659308
601857,中国石油,能源,17.043667752288755,29.094184304062754,0.22215962303224002,5.249871734117216,-33.5943838173242
600900,长江电力,能源,9.495960330817105,17.72851646683583,0.36657445566396335,3.6092218461011933,-17.909392473233858
002594,比亚迪,汽车,30.435555716832813,43.05472800643907,0.30665951502834804,2.138695831664233,-56.0505596741575
600050,中国联通,通讯,-2.3776321216527823,28.84828248401025,0.9051737630978057,7.601615206578282,-46.780843338380855
